2PL noise 2
N of persons;500
N of items;20
N of responses;10000
Proportion of correct responses;0,5412
PSIS-LOO (1PL model);-6220,03796264354
PSIS-LOO SE (1PL model);38,9701269591015
PSIS-LOO (2PL model);-6177,92288445145
PSIS-LOO SE (2PL model);36,1257998063918
PSIS-LOO (3PL model);-6176,77507991783
PSIS-LOO SE (3PL model);35,9980647454044
Mean of ability discrepancies (1PL model);0,441111008760896
SD of ability discrepancies (1PL model);0,33832459283051
Median of ability discrepancies (1PL model);0,383264902027209
MAD of ability discrepancies (1PL model);0,331148893922538
Number of abilities outside 95 % posterior interval (1PL model);55
Mean of ability discrepancies (2PL model);0,413902536299953
SD of ability discrepancies (2PL model);0,316587326394928
Median of ability discrepancies (2PL model);0,357711333457236
MAD of ability discrepancies (2PL model);0,294307350534925
Number of abilities outside 95 % posterior interval (2PL model);19
Mean of ability discrepancies (3PL model);0,415850644249088
SD of ability discrepancies (3PL model);0,316773158767947
Median of ability discrepancies (3PL model);0,352044260738859
MAD of ability discrepancies (3PL model);0,299036567140244
Number of abilities outside 95 % posterior interval (3PL model);20
Mean of difficulty discrepancies (1PL model);0,290351560001074
SD of difficulty discrepancies (1PL model);0,31352127785478
Median of difficulty discrepancies (1PL model);0,186490232819043
MAD of difficulty discrepancies (1PL model);0,156662020050543
Number of difficulties outside 95 % posterior interval (1PL model);9
Mean of difficulty discrepancies (2PL model);0,188281610754479
SD of difficulty discrepancies (2PL model);0,19647886122662
Median of difficulty discrepancies (2PL model);0,137847013928241
MAD of difficulty discrepancies (2PL model);0,0834780497342618
Number of difficulties outside 95 % posterior interval (2PL model);3
Mean of difficulty discrepancies (3PL model);0,371767652703552
SD of difficulty discrepancies (3PL model);0,467382413157903
Median of difficulty discrepancies (3PL model);0,204637860834151
MAD of difficulty discrepancies (3PL model);0,22390000819605
Number of difficulties outside 95 % posterior interval (3PL model);4
Mean of discrimination discrepancies (1PL model);0,396732413524296
SD of discrimination discrepancies (1PL model);0,318372439472258
Median of discrimination discrepancies (1PL model);0,380789233837277
MAD of discrimination discrepancies (1PL model);0,444679413695529
Number of discriminations outside 95 % posterior interval (1PL model);20
Mean of discrimination discrepancies (2PL model);0,440476558324276
SD of discrimination discrepancies (2PL model);0,276698347448401
Median of discrimination discrepancies (2PL model);0,424889439700318
MAD of discrimination discrepancies (2PL model);0,255935698007987
Number of discriminations outside 95 % posterior interval (2PL model);15
Mean of discrimination discrepancies (3PL model);0,324154730553412
SD of discrimination discrepancies (3PL model);0,238749729046929
Median of discrimination discrepancies (3PL model);0,275295553367599
MAD of discrimination discrepancies (3PL model);0,24826620442469
Number of discriminations outside 95 % posterior interval (3PL model);4
Mean of guessing discrepancies (1PL model);0
SD of guessing discrepancies (1PL model);0
Median of guessing discrepancies (1PL model);0
MAD of guessing discrepancies (1PL model);0
Number of guessings outside 95 % posterior interval (1PL model);0
Mean of guessing discrepancies (2PL model);0
SD of guessing discrepancies (2PL model);0
Median of guessing discrepancies (2PL model);0
MAD of guessing discrepancies (2PL model);0
Number of guessings outside 95 % posterior interval (2PL model);0
Mean of guessing discrepancies (3PL model);0,130908436119635
SD of guessing discrepancies (3PL model);0,0564310212846423
Median of guessing discrepancies (3PL model);0,129718248373342
MAD of guessing discrepancies (3PL model);0,0497515915739204
Number of guessings outside 95 % posterior interval (3PL model);20
Mean of response probability discrepancies (1PL model);0,239325345056956
SD of response probability discrepancies (1PL model);0,157280631016557
Median of response probability discrepancies (1PL model);0,218424985380016
MAD of response probability discrepancies (1PL model);0,16996369705934
