1PL-POT noise 0
N of persons;500
N of items;20
N of responses;10000
Proportion of correct responses;0,547
PSIS-LOO (1PL model);-4574,33309284447
PSIS-LOO SE (1PL model);51,7976778192768
PSIS-LOO (2PL model);-4561,91288791844
PSIS-LOO SE (2PL model);51,6335149753007
PSIS-LOO (3PL model);-4563,84784924433
PSIS-LOO SE (3PL model);51,4876747884932
Mean of ability discrepancies (1PL model);2,75693414979966
SD of ability discrepancies (1PL model);1,09357491076405
Median of ability discrepancies (1PL model);2,64836682802666
MAD of ability discrepancies (1PL model);1,0621577483215
Number of abilities outside 95 % posterior interval (1PL model);481
Mean of ability discrepancies (2PL model);2,75509147198695
SD of ability discrepancies (2PL model);1,09833747472499
Median of ability discrepancies (2PL model);2,64338113945818
MAD of ability discrepancies (2PL model);1,05843509528038
Number of abilities outside 95 % posterior interval (2PL model);482
Mean of ability discrepancies (3PL model);2,75759288239248
SD of ability discrepancies (3PL model);1,09675980026945
Median of ability discrepancies (3PL model);2,64473259706522
MAD of ability discrepancies (3PL model);1,06867050819241
Number of abilities outside 95 % posterior interval (3PL model);480
Mean of difficulty discrepancies (1PL model);3,95388957211404
SD of difficulty discrepancies (1PL model);1,78053342135334
Median of difficulty discrepancies (1PL model);3,53516039364915
MAD of difficulty discrepancies (1PL model);1,61851045657894
Number of difficulties outside 95 % posterior interval (1PL model);20
Mean of difficulty discrepancies (2PL model);4,00034197014163
SD of difficulty discrepancies (2PL model);1,67717986537377
Median of difficulty discrepancies (2PL model);3,59451605751178
MAD of difficulty discrepancies (2PL model);1,43933423954434
Number of difficulties outside 95 % posterior interval (2PL model);20
Mean of difficulty discrepancies (3PL model);4,04322016263901
SD of difficulty discrepancies (3PL model);1,7091771185648
Median of difficulty discrepancies (3PL model);3,61456040066062
MAD of difficulty discrepancies (3PL model);1,43846473764448
Number of difficulties outside 95 % posterior interval (3PL model);20
Mean of discrimination discrepancies (1PL model);0
SD of discrimination discrepancies (1PL model);0
Median of discrimination discrepancies (1PL model);0
MAD of discrimination discrepancies (1PL model);0
Number of discriminations outside 95 % posterior interval (1PL model);0
Mean of discrimination discrepancies (2PL model);0,152971526466745
SD of discrimination discrepancies (2PL model);0,11255853335971
Median of discrimination discrepancies (2PL model);0,138157968622356
MAD of discrimination discrepancies (2PL model);0,13544678963112
Number of discriminations outside 95 % posterior interval (2PL model);3
Mean of discrimination discrepancies (3PL model);0,13980177662243
SD of discrimination discrepancies (3PL model);0,108127165362466
Median of discrimination discrepancies (3PL model);0,136342702682506
MAD of discrimination discrepancies (3PL model);0,127664354255636
Number of discriminations outside 95 % posterior interval (3PL model);1
Mean of guessing discrepancies (1PL model);0
SD of guessing discrepancies (1PL model);0
Median of guessing discrepancies (1PL model);0
MAD of guessing discrepancies (1PL model);0
Number of guessings outside 95 % posterior interval (1PL model);0
Mean of guessing discrepancies (2PL model);0
SD of guessing discrepancies (2PL model);0
Median of guessing discrepancies (2PL model);0
MAD of guessing discrepancies (2PL model);0
Number of guessings outside 95 % posterior interval (2PL model);0
Mean of guessing discrepancies (3PL model);0,0123718764902179
SD of guessing discrepancies (3PL model);0,00402858720202317
Median of guessing discrepancies (3PL model);0,0131308590334759
MAD of guessing discrepancies (3PL model);0,0022772976572653
Number of guessings outside 95 % posterior interval (3PL model);20
Mean of response probability discrepancies (1PL model);0,113645556166874
SD of response probability discrepancies (1PL model);0,110296099427904
Median of response probability discrepancies (1PL model);0,0796219507852123
MAD of response probability discrepancies (1PL model);0,0924224045796147
